ticker,year,assets
MSFT,2019,2.87E+11
AMZN,2019,1.63E+11
TSLA,2019,29740000000
GOOGL,2019,2.33E+11
GOOG,2019,2.33E+11
JNJ,2019,1.53E+11
XOM,2019,3.46E+11
JPM,2019,2.62E+12
META,2019,97334000000
V,2019,72574000000
PG,2019,1.15E+11
NVDA,2019,13292000000
HD,2019,44003000000
CVX,2019,2.54E+11
LLY,2019,43908400000
MA,2019,24860000000
ABBV,2019,59352000000
PFE,2019,1.59E+11
MRK,2019,82637000000
PEP,2019,77648000000
BAC,2019,2.35E+12
KO,2019,83216000000
COST,2019,45400000000
AVGO,2019,50124000000
TMO,2019,56232000000
WMT,2019,2.19E+11
CSCO,2019,97793000000
MCD,2019,32811200000
ACN,2019,29789880000
ABT,2019,67173000000
DIS,2019,98598000000
DHR,2019,47832500000
WFC,2019,1.90E+12
BMY,2019,34986000000
LIN,2019,93386000000
NEE,2019,1.04E+11
TXN,2019,17137000000
ADBE,2019,18768682000
VZ,2019,2.65E+11
CMCSA,2019,2.52E+11
PM,2019,39801000000
COP,2019,69980000000
AMGN,2019,66416000000
RTX,2019,1.34E+11
HON,2019,57773000000
CRM,2019,30737000000
MSFT,2020,3.01E+11
AMZN,2020,2.25E+11
TSLA,2020,34309000000
GOOGL,2020,2.76E+11
GOOG,2020,2.76E+11
JNJ,2020,1.58E+11
XOM,2020,3.63E+11
JPM,2020,2.69E+12
META,2020,1.33E+11
V,2020,80919000000
PG,2020,1.21E+11
NVDA,2020,17315000000
HD,2020,51236000000
CVX,2020,2.37E+11
LLY,2020,39286100000
MA,2020,29236000000
ABBV,2020,89115000000
PFE,2020,1.68E+11
MRK,2020,84397000000
PEP,2020,78547000000
BAC,2020,2.43E+12
KO,2020,86381000000
COST,2020,55556000000
AVGO,2020,67493000000
TMO,2020,58381000000
WMT,2020,2.36E+11
CSCO,2020,94853000000
MCD,2020,47510800000
ACN,2020,37078593000
ABT,2020,67887000000
DIS,2020,1.94E+11
DHR,2020,62082000000
WFC,2020,1.93E+12
BMY,2020,1.30E+11
LIN,2020,86612000000
NEE,2020,1.18E+11
TXN,2020,18018000000
ADBE,2020,20762000000
VZ,2020,2.92E+11
CMCSA,2020,2.63E+11
PM,2020,42875000000
COP,2020,70514000000
AMGN,2020,59707000000
RTX,2020,1.40E+11
HON,2020,58679000000
CRM,2020,55126000000
MSFT,2021,3.34E+11
AMZN,2021,3.21E+11
TSLA,2021,52148000000
GOOGL,2021,3.20E+11
GOOG,2021,3.20E+11
JNJ,2021,1.75E+11
XOM,2021,3.33E+11
JPM,2021,3.38E+12
META,2021,1.59E+11
V,2021,82896000000
PG,2021,1.19E+11
NVDA,2021,28791000000
HD,2021,70581000000
CVX,2021,2.40E+11
LLY,2021,46633100000
MA,2021,33584000000
ABBV,2021,1.51E+11
PFE,2021,1.54E+11
MRK,2021,91588000000
PEP,2021,92918000000
BAC,2021,2.82E+12
KO,2021,87296000000
COST,2021,59268000000
AVGO,2021,75933000000
TMO,2021,69052000000
WMT,2021,2.52E+11
CSCO,2021,97497000000
MCD,2021,52626800000
ACN,2021,43175843000
ABT,2021,72548000000
DIS,2021,2.02E+11
DHR,2021,76161000000
WFC,2021,1.95E+12
BMY,2021,1.18E+11
LIN,2021,88229000000
NEE,2021,1.28E+11
TXN,2021,19351000000
ADBE,2021,24284000000
VZ,2021,3.16E+11
CMCSA,2021,2.74E+11
PM,2021,44815000000
COP,2021,62618000000
AMGN,2021,62948000000
RTX,2021,1.62E+11
HON,2021,64586000000
CRM,2021,66301000000
MSFT,2022,3.65E+11
AMZN,2022,4.21E+11
TSLA,2022,62131000000
GOOGL,2022,3.59E+11
GOOG,2022,3.59E+11
JNJ,2022,1.82E+11
XOM,2022,3.39E+11
JPM,2022,3.74E+12
META,2022,1.66E+11
V,2022,85501000000
PG,2022,1.17E+11
NVDA,2022,44187000000
HD,2022,71876000000
CVX,2022,2.40E+11
LLY,2022,48806000000
MA,2022,37669000000
ABBV,2022,1.47E+11
PFE,2022,1.81E+11
MRK,2022,1.06E+11
PEP,2022,92377000000
BAC,2022,3.17E+12
KO,2022,94354000000
COST,2022,64166000000
AVGO,2022,75570000000
TMO,2022,95123000000
WMT,2022,2.45E+11
CSCO,2022,94002000000
MCD,2022,53854300000
ACN,2022,47263390000
ABT,2022,75196000000
DIS,2022,2.04E+11
DHR,2022,83184000000
WFC,2022,1.95E+12
BMY,2022,1.09E+11
LIN,2022,81605000000
NEE,2022,1.41E+11
TXN,2022,24676000000
ADBE,2022,27241000000
VZ,2022,3.67E+11
CMCSA,2022,2.76E+11
PM,2022,41290000000
COP,2022,90661000000
AMGN,2022,61165000000
RTX,2022,1.61E+11
HON,2022,64470000000
CRM,2022,95209000000
