ticker,year,equity
MSFT,2019,1.02E+11
AMZN,2019,43549000000
TSLA,2019,4923000000
GOOGL,2019,1.78E+11
GOOG,2019,1.78E+11
JNJ,2019,59752000000
XOM,2019,1.92E+11
JPM,2019,2.30E+11
META,2019,84127000000
V,2019,29222000000
PG,2019,46266000000
NVDA,2019,9342000000
HD,2019,-1878000000
CVX,2019,1.55E+11
LLY,2019,9828700000
MA,2019,5395000000
ABBV,2019,-8446000000
PFE,2019,63388000000
MRK,2019,26701000000
PEP,2019,14518000000
BAC,2019,2.43E+11
KO,2019,16981000000
COST,2019,15243000000
AVGO,2019,26657000000
TMO,2019,27586000000
WMT,2019,72496000000
CSCO,2019,33571000000
MCD,2019,-6258400000
ACN,2019,14409008000
ABT,2019,30524000000
DIS,2019,48773000000
DHR,2019,28214400000
WFC,2019,1.74E+11
BMY,2019,14031000000
LIN,2019,51596000000
NEE,2019,34144000000
TXN,2019,8994000000
ADBE,2019,9362114000
VZ,2019,53145000000
CMCSA,2019,71613000000
PM,2019,-12459000000
COP,2019,31939000000
AMGN,2019,12500000000
RTX,2019,38446000000
HON,2019,18180000000
CRM,2019,15605000000
MSFT,2020,1.18E+11
AMZN,2020,62060000000
TSLA,2020,6618000000
GOOGL,2020,2.01E+11
GOOG,2020,2.01E+11
JNJ,2020,59471000000
XOM,2020,1.92E+11
JPM,2020,2.34E+11
META,2020,1.01E+11
V,2020,31124000000
PG,2020,45624000000
NVDA,2020,12204000000
HD,2020,-3116000000
CVX,2020,1.44E+11
LLY,2020,2606900000
MA,2020,5893000000
ABBV,2020,-8172000000
PFE,2020,63126000000
MRK,2020,25907000000
PEP,2020,14786000000
BAC,2020,2.41E+11
KO,2020,18981000000
COST,2020,18284000000
AVGO,2020,24941000000
TMO,2020,29675000000
WMT,2020,74669000000
CSCO,2020,37920000000
MCD,2020,-8210300000
ACN,2020,17000536000
ABT,2020,31088000000
DIS,2020,88877000000
DHR,2020,28671000000
WFC,2020,1.67E+11
BMY,2020,51598000000
LIN,2020,49074000000
NEE,2020,37005000000
TXN,2020,8907000000
ADBE,2020,10530000000
VZ,2020,61395000000
CMCSA,2020,82726000000
PM,2020,-11577000000
COP,2020,34981000000
AMGN,2020,9673000000
RTX,2020,41774000000
HON,2020,18494000000
CRM,2020,33885000000
MSFT,2021,1.42E+11
AMZN,2021,93404000000
TSLA,2021,22225000000
GOOGL,2021,2.23E+11
GOOG,2021,2.23E+11
JNJ,2021,63278000000
XOM,2021,1.57E+11
JPM,2021,2.49E+11
META,2021,1.28E+11
V,2021,34509000000
PG,2021,45508000000
NVDA,2021,16893000000
HD,2021,3299000000
CVX,2021,1.32E+11
LLY,2021,5641600000
MA,2021,6391000000
ABBV,2021,13076000000
PFE,2021,63238000000
MRK,2021,25317000000
PEP,2021,13454000000
BAC,2021,2.48E+11
KO,2021,19299000000
COST,2021,17564000000
AVGO,2021,23874000000
TMO,2021,34507000000
WMT,2021,80925000000
CSCO,2021,41275000000
MCD,2021,-7824900000
ACN,2021,19529454000
ABT,2021,32784000000
DIS,2021,83583000000
DHR,2021,36498000000
WFC,2021,1.64E+11
BMY,2021,37822000000
LIN,2021,47317000000
NEE,2021,36513000000
TXN,2021,9187000000
ADBE,2021,13264000000
VZ,2021,67842000000
CMCSA,2021,90323000000
PM,2021,-12567000000
COP,2021,29849000000
AMGN,2021,9409000000
RTX,2021,72163000000
HON,2021,17549000000
CRM,2021,41493000000
MSFT,2022,1.67E+11
AMZN,2022,1.38E+11
TSLA,2022,30189000000
GOOGL,2022,2.52E+11
GOOG,2022,2.52E+11
JNJ,2022,74023000000
XOM,2022,1.69E+11
JPM,2022,2.59E+11
META,2022,1.25E+11
V,2022,33257000000
PG,2022,45746000000
NVDA,2022,26612000000
HD,2022,-1696000000
CVX,2022,1.39E+11
LLY,2022,8979200000
MA,2022,7312000000
ABBV,2022,15408000000
PFE,2022,77201000000
MRK,2022,38184000000
PEP,2022,16043000000
BAC,2022,2.45E+11
KO,2022,22999000000
COST,2022,20642000000
AVGO,2022,24962000000
TMO,2022,40793000000
WMT,2022,83253000000
CSCO,2022,39773000000
MCD,2022,-4601000000
ACN,2022,22106097000
ABT,2022,35802000000
DIS,2022,88553000000
DHR,2022,41899000000
WFC,2022,1.68E+11
BMY,2022,35946000000
LIN,2022,44035000000
NEE,2022,37202000000
TXN,2022,13333000000
ADBE,2022,14797000000
VZ,2022,81790000000
CMCSA,2022,96092000000
PM,2022,-10106000000
COP,2022,45406000000
AMGN,2022,6700000000
RTX,2022,73068000000
HON,2022,18569000000
CRM,2022,58131000000
