ticker,year,profit
MSFT,2019,82933000000
AMZN,2019,93731000000
TSLA,2019,4042000000
GOOGL,2019,77270000000
GOOG,2019,77270000000
JNJ,2019,54490000000
XOM,2019,90308000000
JPM,2019,1.04E+11
META,2019,46483000000
V,2019,22256000000
PG,2019,32916000000
NVDA,2019,7171000000
HD,2019,37160000000
CVX,2019,64324000000
LLY,2019,16811600000
MA,2019,14950000000
ABBV,2019,25035000000
PFE,2019,31953000000
MRK,2019,28943000000
PEP,2019,35280000000
BAC,2019,87738000000
KO,2019,21233000000
COST,2019,19817000000
AVGO,2019,13827000000
TMO,2019,10869000000
WMT,2019,1.29E+11
CSCO,2019,32666000000
MCD,2019,10832600000
ACN,2019,13314688000
ABT,2019,17882000000
DIS,2019,26708000000
DHR,2019,9505000000
WFC,2019,84696000000
BMY,2019,16151000000
LIN,2019,5816000000
NEE,2019,9665000000
TXN,2019,10277000000
ADBE,2019,7835000000
VZ,2019,75355000000
CMCSA,2019,64815000000
PM,2019,18867000000
COP,2019,17984000000
AMGN,2019,19646000000
RTX,2019,7236000000
HON,2019,12756000000
CRM,2019,9831000000
MSFT,2020,96937000000
AMZN,2020,1.15E+11
TSLA,2020,4069000000
GOOGL,2020,89961000000
GOOG,2020,89961000000
JNJ,2020,54503000000
XOM,2020,81066000000
JPM,2020,1.10E+11
META,2020,57927000000
V,2020,21119000000
PG,2020,35700000000
NVDA,2020,6768000000
HD,2020,37572000000
CVX,2020,59752000000
LLY,2020,17598300000
MA,2020,16883000000
ABBV,2020,25827000000
PFE,2020,33058000000
MRK,2020,28061000000
PEP,2020,37178000000
BAC,2020,85582000000
KO,2020,22647000000
COST,2020,21822000000
AVGO,2020,15874000000
TMO,2020,11328000000
WMT,2020,1.29E+11
CSCO,2020,31683000000
MCD,2020,11179400000
ACN,2020,13976158000
ABT,2020,18673000000
DIS,2020,27546000000
DHR,2020,9984000000
WFC,2020,84227000000
BMY,2020,18247000000
LIN,2020,11584000000
NEE,2020,11201000000
TXN,2020,9164000000
ADBE,2020,9498000000
VZ,2020,77142000000
CMCSA,2020,74502000000
PM,2020,19292000000
COP,2020,16182000000
AMGN,2020,19006000000
RTX,2020,10932000000
HON,2020,12370000000
CRM,2020,12863000000
MSFT,2021,1.16E+11
AMZN,2021,1.53E+11
TSLA,2021,6630000000
GOOGL,2021,97795000000
GOOG,2021,97795000000
JNJ,2021,54157000000
XOM,2021,57157000000
JPM,2021,1.02E+11
META,2021,69273000000
V,2021,23375000000
PG,2021,39144000000
NVDA,2021,10557000000
HD,2021,44853000000
CVX,2021,43983000000
LLY,2021,19056500000
MA,2021,15301000000
ABBV,2021,31747000000
PFE,2021,33284000000
MRK,2021,29963000000
PEP,2021,38637000000
BAC,2021,74208000000
KO,2021,19581000000
COST,2021,25245000000
AVGO,2021,17370000000
TMO,2021,16008000000
WMT,2021,1.39E+11
CSCO,2021,31894000000
MCD,2021,9752100000
ACN,2021,16364128000
ABT,2021,19753000000
DIS,2021,21508000000
DHR,2021,13043000000
WFC,2021,60243000000
BMY,2021,34045000000
LIN,2021,11860000000
NEE,2021,10707000000
TXN,2021,9269000000
ADBE,2021,11146000000
VZ,2021,77091000000
CMCSA,2021,70443000000
PM,2021,19125000000
COP,2021,6794000000
AMGN,2021,19265000000
RTX,2021,8620000000
HON,2021,10468000000
CRM,2021,15814000000
MSFT,2022,1.36E+11
AMZN,2022,1.97E+11
TSLA,2022,13606000000
GOOGL,2022,1.47E+11
GOOG,2022,1.47E+11
JNJ,2022,64020000000
XOM,2022,90045000000
JPM,2022,1.31E+11
META,2022,95280000000
V,2022,28567000000
PG,2022,38212000000
NVDA,2022,17475000000
HD,2022,50832000000
CVX,2022,66234000000
LLY,2022,21345300000
MA,2022,18884000000
ABBV,2022,38883000000
PFE,2022,50627000000
MRK,2022,35463000000
PEP,2022,42429000000
BAC,2022,93707000000
KO,2022,23298000000
COST,2022,27572000000
AVGO,2022,20288000000
TMO,2022,19638000000
WMT,2022,1.44E+11
CSCO,2022,32248000000
MCD,2022,12580200000
ACN,2022,19701539000
ABT,2022,25009000000
DIS,2022,22287000000
DHR,2022,18056000000
WFC,2022,82948000000
BMY,2022,37048000000
LIN,2022,13250000000
NEE,2022,8589000000
TXN,2022,12376000000
ADBE,2022,13920000000
VZ,2022,77312000000
CMCSA,2022,77935000000
PM,2022,21375000000
COP,2022,22936000000
AMGN,2022,19525000000
RTX,2022,12525000000
HON,2022,10998000000
CRM,2022,19466000000
